F:\AMNIS_data\200114\G1-R12\data\G1.daf
All

Object Number	Area_M01	Gradient RMS_M01_Ch01	Aspect Ratio_M01	Intensity_MC_Ch02	Intensity_MC_Ch04	Intensity_MC_Ch12
0	18.2222222222222	65.6156962248017	0.84324249542998	14825.0648148149	452.101851851854	1409.03703703703
1	27.1111111111111	64.8045050169807	0.666259179596476	27201.2307692306	956.125	3528.29807692306
2	32.2222222222222	64.7332289271541	0.79161269280595	33730.7403846153	1170.0673076923	3357.79807692308
3	30.2222222222222	63.6351240522514	0.6005450485385	37759.8333333334	1276.59259259259	7683.64814814812
4	25	66.639253401946	0.657805294901087	20829.6730769232	754.394230769234	4548.54807692306
5	22.1111111111111	64.9861391503733	0.797041601287702	22171.7142857144	631.928571428574	2297
6	20.3333333333333	67.3390229351126	0.725892655687618	16614.0043103449	550.637931034478	3036.29741379312
7	23.8888888888889	66.5523213817289	0.655608454524669	19502.7788461538	605.072115384618	7223.95673076921
8	19.6666666666667	68.8616153642692	0.670669233182116	12709.7857142857	423.5	4769.10714285714
9	20.7777777777778	65.4674705110709	0.76537609331735	19680.62	652.859999999998	3651.43999999999
10	23.1111111111111	67.0524756810346	0.703360853121908	18038.4642857143	636.276785714289	1314.65625
11	26.6666666666667	65.8991459856536	0.615812781591283	26446.387096774	828.814516129026	2732.13709677421
12	19.2222222222222	66.1528834859618	0.809687511144717	9395	288.814655172415	1368.93103448276
13	33.5555555555556	64.3743199039616	0.581561247106083	25190.6774193546	852.903225806441	5133.2620967742
14	28.3333333333333	66.2444729944103	0.60828645823174	28005.2661290321	863.467741935478	6492.83870967748
15	25.3333333333333	69.120522022121	0.585721434045523	29238.0625000002	1033.54166666667	3594.72916666666
16	19.6666666666667	64.618612064485	0.755261365850644	14336.3269230769	435.067307692309	1319.49038461539
17	20.5555555555556	68.6799680318566	0.752686644542076	14847.8913043479	436.934782608694	3243.99456521738
18	24.8888888888889	65.2191075199515	0.699638732343845	20368.4310344828	650.206896551721	3514.46551724135
19	16	70.1949913611602	0.569781780577194	35177.2799999999	1144.44	3729.40000000001
20	23.8888888888889	63.3454304685347	0.733386736154388	37055.8666666665	1215.66666666666	4076.26666666666
21	18.2222222222222	68.4273216100153	0.714204103845252	20193.1473214286	646.0625	3909.21875
22	23.4444444444444	68.9787210310558	0.663224181358436	31101.3379629631	937.199074074077	820.120370370365
23	21.8888888888889	65.1999318139098	0.738269547902686	15010.8125	545.762500000003	1984.38750000001
24	29.4444444444444	66.4774703159382	0.59264916993469	26253.6370967743	908.669354838706	3884.08064516125
25	23.5555555555556	65.747805577249	0.683979915055656	17430.6696428571	465.044642857139	4858.90178571426
26	20.5555555555556	63.4647513078467	0.810891154161829	23731.1874999999	792.375000000003	2685.66666666667
27	22	67.4959495472482	0.672729819679766	38451.0999999998	1238.41666666666	1755.82500000001
28	16.4444444444444	69.2358905772917	0.665960787371766	21061.4285714286	767.035714285713	3169.25
29	20.6666666666667	67.19901849344	0.668333574815294	29737.7500000001	986.999999999995	4182.37499999999
30	18.6666666666667	66.9283445121169	0.891873224626004	38785.0387931033	1213.56896551724	811.754310344831
31	26.8888888888889	67.076079809007	0.617895713108816	28795.4241071429	992.6875	3595.45535714287
32	20.8888888888889	65.090832634559	0.792543045169785	25374.1136363635	829.704545454545	3586.14772727274
33	20.1111111111111	68.4496114842669	0.907121431097729	16786.0517241379	614.862068965514	1824.98275862069
34	23.2222222222222	64.5740166657756	0.709402756851557	27858.9999999999	923.349999999995	4479.75000000001
35	20.6666666666667	66.185495797385	0.796831811594184	15831.7586206898	468.586206896554	2130.87931034483
36	38.5555555555556	68.4570601109253	0.623441015515494	67237.45967742	2184.65322580646	9965.44354838714
37	21.6666666666667	63.4654033426022	0.837539183887162	16653.125	547.887500000003	2074.925
38	23	64.9788038816773	0.718662533377753	30461.1714285713	1027.62857142858	2060.54285714286
39	23.5555555555556	66.8062155901141	0.67850309963205	20788.6607142857	586.91964285714	3254.32142857144
40	22.7777777777778	65.4619996900616	0.73290579263222	16605.5	555.291666666663	4674.6666666667
